element_global_id	usfs_ecoregion_id	d_occurrence_status_id
683167	10403	2
683167	10299	3
683169	1151	1
683169	10041	1
683170	105	1
683170	1151	1
683170	10189	2
683170	10430	2
683171	117	1
683171	133	1
683171	114	1
683171	1129	1
683171	1027	1
683171	1039	1
683172	102	1
683172	103	1
683172	1112	1
683172	1173	1
683172	1071	1
683172	10018	1
683172	10384	1
683172	10111	1
683172	10037	1
683173	104	1
683173	1073	1
683174	131	1
683174	1084	1
683175	105	1
683175	1151	1
683176	115	1
683176	1130	1
683176	1143	1
683176	10474	2
683176	10156	1
683177	115	1
683177	103	1
683177	1143	1
683177	10245	1
683177	10101	1
683178	1070	1
683180	120	1
683354	10184	2
683354	10231	2
683354	10146	1
683355	1020	1
683356	120	1
683356	117	1
683356	1043	1
683356	1146	1
683356	1155	1
683356	1129	1
683356	1153	1
683357	102	1
683357	136	1
683357	120	1
683357	1136	2
683357	1107	2
683357	1108	1
683357	10214	1
683359	103	1
683359	104	2
683359	1089	1
683359	10143	1
683359	10329	3
683359	10016	2
683359	10364	1
683359	10469	1
683359	10357	1
683359	10146	1
683360	114	1
683360	117	1
683360	1027	1
683360	1039	1
683362	112	1
683363	104	1
683363	103	1
683363	1073	1
683363	1103	2
683363	1141	2
683363	1061	1
683363	10356	1
683500	1063	1
683500	1093	1
683500	1174	1
683500	1025	1
683500	1106	3
683502	104	1
683502	123	1
683502	1073	1
683502	10274	1
683502	10317	1
683505	125	3
683505	116	3
683505	1139	3
683505	1059	3
683506	116	1
683506	125	3
683506	1139	1
683507	114	1
683507	1029	1
683508	1151	1
683508	10363	1
683509	1088	1
683510	1085	1
683512	124	1
683513	123	1
683513	1118	1
683513	10084	1
683515	138	1
683515	124	1
683515	1117	1
683515	1054	1
683515	1132	1
683654	1155	1
683655	117	1
683655	1147	1
683655	1052	1
683656	105	1
683656	10129	1
683656	10319	1
683657	128	1
683657	1142	2
683658	118	1
683658	119	1
683658	125	1
683658	122	1
683658	1168	1
683658	1069	1
683658	1119	1
683658	1031	1
683658	1101	1
683660	122	1
683660	114	1
683660	1115	1
683663	116	1
683663	119	1
683663	125	1
683663	1147	1
683664	105	1
683664	10489	1
683664	10486	1
683665	1085	1
683666	124	1
683666	1054	1
683668	115	1
683668	1026	1
683668	1019	1
683668	10441	2
683668	10054	1
683668	10276	2
683668	10335	1
683670	105	1
683670	1151	1
683149	10397	2
683149	10439	2
683149	10084	1
683149	10197	1
683149	10154	1
683149	10472	1
683152	122	1
683152	117	1
683152	120	1
683152	106	1
683152	114	1
683152	133	1
683152	1116	1
683152	1138	1
683152	1099	1
683152	1095	1
683155	114	1
683155	1116	1
683160	1102	1
683160	10004	1
683161	1087	1
683162	137	1
683162	1009	1
683163	116	1
683163	125	1
683163	1139	1
683163	1147	1
683164	124	1
683165	128	1
683165	1151	1
683165	1034	1
683165	10483	2
683165	10454	2
683165	10127	1
683165	10071	1
683165	10070	1
683167	128	1
683167	1034	1
683167	1019	2
683366	1012	1
683368	126	1
683368	105	1
683368	1010	1
683369	105	1
683369	104	1
683369	1163	1
683369	10148	1
683210	1058	1
683211	1151	1
683211	1171	1
683211	10485	2
683211	10462	1
683211	10169	2
683212	129	1
683212	1070	1
683214	103	1
683214	104	2
683214	1089	1
683214	10146	1
683215	124	1
683215	127	1
683215	133	1
683215	117	1
683215	1132	1
683215	1105	1
683215	1146	1
683215	1106	1
683215	1027	1
683216	1156	1
683217	127	1
683219	113	1
683515	1120	1
683516	1126	2
683516	1034	1
683516	10211	2
683517	134	1
683517	115	1
683517	1026	1
683517	10276	1
683517	10173	1
683518	1018	1
683518	10032	1
683519	127	1
683519	1005	1
683519	1156	1
683520	124	1
683520	1058	1
683521	108	2
683521	110	2
683526	104	1
683527	105	1
683528	104	3
683528	105	1
683528	126	1
683530	1023	1
683530	10318	3
683530	10105	2
683532	137	1
683532	1088	1
683533	128	1
683533	1019	1
683533	10454	1
683535	117	1
683535	133	1
683535	1025	1
683535	1043	1
683535	1063	1
683535	1146	1
683670	10489	1
683670	10480	1
683670	10070	1
683672	1126	1
683672	1151	1
683672	10319	1
683672	10073	1
683676	105	1
683676	1151	1
683676	10070	1
683677	128	1
683677	115	1
683677	1109	1
683677	1142	1
683677	1019	1
683677	10060	1
683677	10141	1
683677	10424	1
683677	10139	1
683677	10057	1
683677	10454	1
683678	112	1
683678	1144	1
683678	10343	1
683679	1126	1
683680	105	1
683680	1171	1
683681	105	1
683681	10073	1
683682	104	1
683682	1162	1
683682	1163	1
683682	10399	1
683682	10209	1
683685	1151	1
683687	127	1
683687	133	1
683687	114	1
683687	1095	1
683233	105	1
683233	10319	1
683233	10489	1
683234	124	1
683234	1166	1
683235	127	1
683235	1054	1
683236	125	1
683236	122	1
683236	1032	1
683236	1147	1
683238	124	1
683238	114	1
683238	1105	1
683238	1054	1
683238	1027	1
683240	122	1
683242	1145	1
683245	1083	1
683246	126	1
683246	1010	1
683246	10370	3
683247	1151	1
683247	1051	1
683247	10073	1
683247	10307	1
683247	10039	1
683247	10189	1
683687	1146	1
683687	1007	1
683687	1030	1
683687	1093	1
683687	1131	1
683687	1106	1
683687	1043	1
683687	1091	1
683687	1027	1
683687	1155	1
683687	1025	1
683690	122	1
683691	118	1
683691	119	1
683691	1101	1
683691	1069	1
683692	116	1
683692	1139	1
683692	1062	1
683693	127	1
683693	1156	1
683694	103	1
683694	1130	2
683694	1111	1
683694	1110	1
683694	1053	1
683694	10037	1
683694	10014	3
683694	10029	2
683694	10111	1
683694	10474	2
683694	10066	1
683694	10116	1
683694	10092	2
683694	10251	2
683695	105	1
683695	10489	1
683696	116	1
683696	1059	1
683696	1032	1
683699	137	1
683699	135	1
683699	1060	1
683699	1165	1
683700	114	1
683700	1147	1
683701	136	3
683701	120	3
683701	102	2
683701	1111	2
683701	10290	2
683702	124	1
683702	1058	1
683703	127	1
683703	121	1
683703	1156	1
683703	1145	1
683703	1020	1
683704	104	1
683704	1073	1
683704	10123	1
683705	121	1
683705	1145	1
683706	102	1
683706	104	1
683706	1144	1
683706	1066	1
683706	1123	1
683706	10218	1
683706	10343	2
683707	1099	1
683708	135	1
683708	1088	1
683709	1150	1
683709	10084	1
683709	10411	1
683709	10348	1
683710	1081	1
683710	1110	1
683710	1021	1
683710	1143	1
683710	1157	1
683710	10401	1
683710	10179	1
683710	10298	1
683710	10413	1
683710	10414	1
683710	10026	1
683710	10006	1
683710	10246	1
683710	10322	1
