element_global_id	usfs_ecoregion_2007_id	d_occurrence_status_id
801747	45	1
801747	157	1
801747	692	1
802194	50	1
802194	169	1
802194	786	1
687375	692	1
687375	157	1
687375	45	1
688063	157	1
688063	692	1
801753	45	1
801753	157	1
801753	692	1
801757	45	1
801757	157	1
801757	692	1
801762	45	1
801762	157	1
801762	692	1
686221	692	1
683869	45	1
683869	692	1
683447	45	1
683447	157	1
683447	692	1
801767	45	1
801767	157	1
801767	692	1
801773	45	1
801773	157	1
801773	692	1
801776	45	1
801776	157	1
801776	692	1
683256	157	1
683256	45	1
683256	692	1
801779	45	1
801779	157	1
801779	692	1
801786	45	1
801786	157	1
801786	692	1
689772	45	1
689772	157	1
689772	692	1
801789	45	1
801789	157	1
801789	692	1
686739	45	1
686739	157	1
686739	692	1
683476	45	1
683476	157	1
683476	692	1
801792	45	1
801792	157	1
801792	692	1
801795	45	1
801795	157	1
801795	692	1
801799	45	1
801799	157	1
801799	692	1
685976	45	1
685976	157	1
685976	692	1
686221	45	1
686221	157	1
683869	157	1
801770	45	1
801770	157	1
801770	692	1
801802	45	1
801802	157	1
801802	692	1
685867	45	1
685867	157	1
685867	692	1
801783	45	1
801783	157	1
801783	692	1
686674	45	1
686674	157	1
686674	692	1
688063	45	1
833194	57	1
833194	216	1
833196	40	1
833196	41	1
833196	119	1
833196	122	1
833196	127	1
833196	128	1
833196	129	1
833196	131	1
833196	132	1
833196	133	1
833196	134	1
833196	135	1
833196	136	1
833202	40	1
833202	41	1
833202	42	2
833202	45	1
833202	122	1
833202	131	1
833202	142	2
833202	155	1
833203	46	1
833203	47	1
833203	48	1
833203	52	1
833203	55	1
833203	56	1
833203	159	1
833203	160	1
833203	161	1
833203	176	1
833203	178	1
833203	202	1
833203	207	1
833203	62	1
833203	227	1
833203	228	1
833203	63	1
833203	231	1
833203	232	1
833203	233	1
833203	234	1
833203	235	1
833203	236	1
833203	237	1
833204	46	1
833204	48	1
833204	159	1
833204	161	1
833205	49	1
833205	50	1
833205	51	1
833205	52	1
833205	53	3
833205	163	1
833205	164	1
833205	165	2
833205	166	1
833205	167	1
833205	173	1
833205	174	1
833205	176	1
833205	177	1
833205	187	3
833205	65	1
833205	240	1
833205	241	1
833205	66	3
833205	246	3
833206	49	1
833206	50	1
833206	51	1
833206	52	1
833206	164	1
833206	166	1
833206	174	1
833206	176	2
833206	177	1
833206	65	1
833206	240	1
833206	241	1
833207	49	3
833207	51	1
833207	52	3
833207	165	3
833207	174	1
833207	177	3
833207	65	1
833207	240	1
833207	241	1
833208	49	1
833208	50	1
833208	51	1
833208	52	1
833208	163	1
833208	164	1
833208	165	3
833208	166	1
833208	173	1
833208	174	1
833208	176	1
833208	177	1
833208	65	1
833208	240	1
833208	241	1
833208	66	3
833208	246	3
833208	247	3
833286	334	2
833286	335	1
833286	336	2
833286	91	1
833286	338	1
833286	339	1
833286	340	1
833286	92	2
833286	104	1
833286	406	1
833286	407	1
833286	109	1
833286	110	1
833286	440	1
833287	35	1
833287	37	1
833287	41	1
833287	77	1
833287	78	1
833287	285	1
833287	95	1
833287	354	1
833287	355	2
833287	358	1
833287	361	1
833287	362	1
833287	363	1
833287	96	1
833287	368	1
833287	126	1
833287	133	1
833287	590	1
833287	59	1
833287	224	1
833287	1117	1
833287	1119	1
833288	59	1
833288	221	1
833288	1103	1
833288	222	1
833288	1109	1
833288	224	1
833244	37	1
833244	97	1
833244	100	1
833244	101	1
833244	39	1
833244	111	1
833244	40	1
833244	118	1
833244	125	1
833244	59	1
833244	223	1
833244	224	1
833244	225	1
833244	60	1
833244	61	1
833244	226	1
833285	37	2
833285	97	2
833285	41	1
833285	128	1
833285	133	1
833285	134	1
833285	135	1
833285	40	1
833285	119	1
833285	122	1
833285	124	1
833254	176	2
833254	54	2
833254	55	1
833254	202	1
833254	56	1
833254	207	1
833254	235	1
833254	236	1
833254	237	1
835951	46	1
835951	159	1
835951	47	1
835951	160	1
833287	97	1
833287	372	1
837682	437	1
836789	440	1
837087	440	1
837682	440	1
836789	441	1
837087	441	1
837682	441	1
837392	35	2
837392	75	2
837392	76	2
837392	133	1
837392	134	1
836963	594	1
836994	603	1
837392	685	1
837392	687	1
836789	1080	2
836789	1081	1
836789	1082	2
836789	1083	2
836789	1084	1
836789	1085	1
836789	1087	1
836789	1088	2
836760	1089	1
836789	1091	1
836789	1092	1
836789	1095	1
836789	1096	1
836789	1097	1
836789	1098	1
836789	1099	1
835861	73	2
835950	43	3
835950	46	1
835950	47	1
835950	48	1
835950	52	2
835950	62	2
835950	63	1
835950	144	3
835950	159	1
835950	160	1
835950	161	1
835950	176	2
835950	178	2
835950	227	2
835950	228	2
835950	231	1
835950	232	1
835950	233	1
835950	234	1
835950	235	1
835950	236	1
835950	237	1
836772	35	1
836772	73	1
836772	74	1
836772	75	1
836772	76	1
836772	77	2
836772	78	1
836772	79	1
836772	80	1
836772	81	1
836772	37	1
836772	95	1
836772	96	1
836772	97	1
836772	38	1
836772	103	1
836772	58	1
836772	217	1
836772	218	1
836772	219	1
836772	220	1
836772	59	1
836772	221	1
833212	43	1
833212	48	2
833212	143	1
833212	144	1
833212	161	2
833212	62	1
833212	227	1
833212	228	1
833212	230	2
833212	63	1
833212	231	1
833213	56	1
833213	213	1
833213	214	1
833213	62	1
833213	228	3
833213	229	1
833213	230	1
833214	47	2
833214	48	1
833214	52	2
833214	160	2
833214	161	1
833214	176	2
833214	62	1
833214	227	1
833214	228	3
833214	63	1
833214	231	1
833214	232	1
833214	233	1
833214	234	1
833214	235	1
833214	236	1
833221	35	1
833221	36	1
833221	38	1
833221	77	1
833221	281	1
833221	82	1
833221	306	1
833221	89	1
833221	330	1
833221	332	1
833221	91	1
833221	338	1
833221	340	1
833221	103	1
833221	405	1
833221	110	1
833222	50	2
833222	51	1
833222	166	2
833222	174	1
833222	65	1
833222	241	1
833223	49	1
833223	50	1
833223	51	1
833223	52	1
833223	55	1
833223	162	1
833223	163	1
833223	164	1
833223	165	1
833223	166	1
833223	173	1
833223	174	1
833223	176	1
833223	177	1
833223	178	1
833223	199	2
833223	204	1
833223	63	1
833223	235	1
833223	65	1
833223	240	1
833223	70	3
833223	264	3
833224	41	1
833224	128	1
833224	134	1
833225	37	1
833225	41	1
833225	95	1
833225	126	1
833225	128	1
833225	129	1
833225	130	1
833225	132	1
833225	134	1
833225	137	1
833228	49	1
833228	51	1
833228	52	1
833228	164	1
833228	174	1
833228	176	1
833228	177	1
833228	178	1
833231	49	1
833231	51	1
833231	52	1
833231	55	1
833231	162	1
833231	164	1
833231	174	1
833231	176	1
833231	177	1
833231	178	1
833231	204	1
833231	63	2
833231	235	2
833231	70	2
833231	262	2
