element_global_id	reference_id
833194	178492
833194	183289
833194	191632
833194	197983
833194	211972
833194	235203
833194	490471
833194	501597
833194	650511
833194	667216
788783	181797
788783	469503
788783	469514
788783	646797
788783	757988
788783	766568
788701	181797
788701	469514
788701	646797
788746	181797
788746	185610
788746	194894
788746	469494
788746	469514
788746	646797
788746	667302
788743	181797
788743	194894
788743	200660
788743	469494
788743	469514
788743	646797
789587	176422
789587	619527
789587	671224
789587	671235
788768	181797
788768	190499
788768	194894
788768	197218
788768	469496
788768	469514
788768	646797
788645	181797
788645	190499
788645	194894
788645	469514
788645	646797
683394	180672
683394	181060
683394	181492
683394	707499
683184	180543
683184	181797
683184	182848
683184	183958
683184	184460
683184	186871
683184	187720
683184	191266
683184	192969
683184	194428
683184	200235
683184	201226
683184	201774
683184	235914
683184	478087
683122	181797
683122	182143
683122	183809
683122	185610
683122	473037
683122	646797
683122	722172
683264	175677
683264	177658
683264	177852
683264	178045
683264	178828
683264	180014
683264	180682
683264	181797
683264	182274
683264	182970
683264	183023
683264	184329
683264	184460
683264	184664
683264	186618
683264	187315
683264	189580
683264	190067
683264	190538
683264	190992
683264	191390
683264	191682
683264	191891
683264	194059
683264	194665
683264	194828
683264	195979
683264	197262
683264	199815
683264	200608
683264	201031
683264	478087
683264	645765
683264	667324
683264	671245
683264	671251
683271	181492
683271	668151
683190	176315
683190	179924
683190	181797
683190	183434
683190	184460
683190	189778
683190	190679
683190	192027
683190	192035
683190	200873
683190	478087
683190	488835
683190	667322
683190	707494
683519	177346
683519	181797
683519	181852
683519	184460
683986	176018
683986	176558
683986	176721
683986	176749
683986	179924
683986	179967
683986	180183
683986	180848
683986	181797
683986	183084
683986	183958
683986	184460
683986	186748
683986	186807
683986	187179
683986	187315
683986	189420
683986	191908
683986	192804
683986	194127
683986	194225
683986	194646
683986	196927
683986	201148
683986	201586
683986	478087
683986	621532
683986	642058
683986	643094
683986	643102
683986	643742
683986	671246
683468	178159
683468	178718
683468	181797
683468	182710
683468	183137
683468	184460
683468	185640
683468	756938
683470	181797
683470	183997
683470	184460
683470	188295
683660	176315
683660	178045
683660	181797
683660	181852
683660	184460
683660	192649
683660	194828
683074	175630
683074	175696
683074	176273
683074	178160
683074	181797
683074	181852
683074	184460
683739	180088
683739	180506
683739	181797
683739	181950
683739	182827
683739	184460
683739	187315
683739	187491
683739	188991
683739	191721
683739	195626
683739	199046
683739	199491
683739	199556
683739	200873
683739	342646
683739	645540
683739	656662
683324	176422
683324	182100
683324	182283
683324	198385
683324	235187
683324	468699
683324	646792
683324	671258
683324	792456
683324	848333
683549	181492
683549	668151
683549	671244
683174	178713
683174	181797
683174	182397
683174	184460
683174	184461
683174	185460
683174	185492
683174	190578
683174	190610
683174	192691
683174	192736
683174	195852
683174	310942
683174	463797
683174	472959
683174	472960
683299	181492
683299	671249
683385	181797
683385	181852
683385	183626
683385	184460
683385	197745
683385	200929
683137	175401
683137	176422
683137	179683
683137	181869
683137	182100
683137	182453
683137	193270
683137	196128
683137	199795
683137	200957
683137	287719
683137	508413
683137	649776
683137	792456
683137	848333
683404	178990
683404	181797
683404	184460
683581	181492
683581	182803
683581	194660
683581	199970
683581	641997
683177	176179
683177	182818
683177	190544
683177	199046
683177	199164
683177	620627
683177	645701
683177	792456
683177	943946
683182	181060
683182	181492
683555	181521
683555	181797
683555	184460
683555	195889
683555	671250
683555	752574
683300	181797
683300	321625
683300	671250
683300	752574
