element_global_id	simglobal_id	simnote	simelcode	simname	simusstatus	simlevelid
899959	952013		A0898	<i>Corylus cornuta - Amelanchier</i> spp. / <i>Poa pratensis</i> Ruderal Scrub &amp; Grassland Alliance	C	46
943964	899373	occurs on upland slopes, canyon walls and other drier settings.	A3249	<i>Populus tremuloides - Populus balsamifera / Corylus americana</i> Forest Alliance	C	46
943217	943220		A4175	<i>Trifolium variegatum</i> Vernal Pool Alliance	C	46
943229	899215	occurs in vernal pools of Oregon and Washington.	A2627	<i>Plagiobothrys figuratus - Plagiobothrys scouleri</i> Vernal Pool Alliance	C	46
943229	899859	occurs in wet meadows of the West.	A3807	<i>Eleocharis palustris - Eleocharis acicularis</i> Marsh Alliance	C	46
900045	878639		A2076	<i>Pellaea atropurpurea - Cystopteris bulbifera</i> Appalachian Circumneutral Cliff Alliance	C	46
841948	899450		A3326	<i>Quercus velutina - Quercus alba</i> North-Central Forest Alliance	C	46
899380	899448		A3324	<i>Quercus alba - Quercus macrocarpa - Quercus bicolor</i> Woodland Alliance	C	46
870707	899448		A3324	<i>Quercus alba - Quercus macrocarpa - Quercus bicolor</i> Woodland Alliance	C	46
842025	899447		A3323	<i>Quercus alba</i> - <i>Quercus rubra - Carya</i> spp. North-Central Forest Alliance	C	46
931856	899438		A3314	<i>Picea rubens / Vaccinium angustifolium</i> Northern Rocky Woodland Alliance	C	46
899425	899426		A3302	<i>Tsuga canadensis - Betula lenta - Betula alleghaniensis</i> Forest Alliance	C	46
899375	899426		A3302	<i>Tsuga canadensis - Betula lenta - Betula alleghaniensis</i> Forest Alliance	C	46
899364	899425		A3301	<i>Acer saccharum - Fagus grandifolia - Tilia americana</i> Forest Alliance	C	46
899348	899425		A3301	<i>Acer saccharum - Fagus grandifolia - Tilia americana</i> Forest Alliance	C	46
870256	899422		A3298	<i>Quercus muehlenbergii - Juniperus virginiana</i> Alvar Woodland Alliance	C	46
899364	899421		A3297	<i>Acer saccharum - Tilia americana</i> Limestone Woodland Alliance	C	46
899406	899407		A3283	<i>Simmondsia chinensis - Canotia holacantha - Eriogonum fasciculatum</i> Desert Scrub Alliance	C	46
900003	899371		A3247	<i>Prosopis glandulosa</i> Scrub Woodland Alliance	C	46
899366	899367	is the other Chihuahuan Desert gypsum alliance.	A3243	<i>Tiquilia hispidissima / Sporobolus nealleyi - Tidestromia carnosa</i> Gypsum Outcrop &amp; Alluvial Flat Desert Scrub Alliance	C	46
899495	899338		A3214	<i>Acer grandidentatum - Quercus muehlenbergii - Juglans major</i> Forest &amp; Woodland Alliance	C	46
899240	899338		A3214	<i>Acer grandidentatum - Quercus muehlenbergii - Juglans major</i> Forest &amp; Woodland Alliance	C	46
899760	899335		A3211	<i>Fraxinus pennsylvanica - Ulmus americana</i> Great Plains Forest Alliance	C	46
899335	899334		A3210	<i>Juniperus scopulorum - Juniperus virginiana</i> Woodland Alliance	C	46
899588	899333		A3209	<i>Betula papyrifera - Populus tremuloides - Quercus macrocarpa</i> Forest Alliance	C	46
866437	899333		A3209	<i>Betula papyrifera - Populus tremuloides - Quercus macrocarpa</i> Forest Alliance	C	46
899644	899324		A3200	<i>Artemisia cana ssp. bolanderi - Artemisia cana ssp. viscidula</i> Steppe &amp; Shrubland Alliance	C	46
899204	899324		A3200	<i>Artemisia cana ssp. bolanderi - Artemisia cana ssp. viscidula</i> Steppe &amp; Shrubland Alliance	C	46
899378	935020		A4148	<i>Agropyron cristatum</i> Western Ruderal Perennial Grassland Alliance	C	46
899546	934751		A4131	<i>Fraxinus pennsylvanica - Ulmus americana - Populus deltoides</i> Floodplain Forest Alliance	C	46
899618	934599		A4129	<i>Carex interior - Carex pellita</i> Central Plains Graminoid Fen Alliance	C	46
899747	931848		A4109	Inland Lake Non-alkaline Rocky Shore Alliance	C	46
899712	926862		A4105	<i>Carex</i> spp. - <i>Calamagrostis canadensis</i> Midwest Wet Meadow Alliance	C	46
926862	926855		A1350	<i>Calamagrostis stricta - Carex sartwellii - Carex praegracilis</i> Saline Wet Meadow Alliance	C	46
926862	926768		A4107	<i>Carex</i> spp. - <i>Calamagrostis canadensis</i> Eastern Wet Meadow Alliance	C	46
899134	926708		A4106	<i>Spiraea tomentosa - Rubus</i> spp. Ruderal Wet Shrubland Alliance	C	46
899760	907223		A4099	<i>Acer negundo - Betula nigra / Alliaria petiolata</i> Ruderal Floodplain Forest Alliance	C	46
900079	900122		A4056	<i>Andropogon gerardii - Panicum virgatum</i> Wet Prairie Alliance	C	46
899085	900112		A4062	<i>Schizachyrium scoparium - Liatris elegans var. carizzana</i> Sandy Grassland Alliance	C	46
900093	900108		A4058	<i>Schizachyrium scoparium - Bouteloua curtipendula - Sorghastrum nutans</i> Central Bedrock Grassland Alliance	C	46
