element_global_id	subnation_id	d_curr_presence_absence_id	d_dist_confidence_id
688072	33	1	1
683080	56	1	1
684650	7	3	5
684389	33	1	1
685794	44	1	1
689272	7	3	5
689272	18	1	1
687489	18	1	1
687489	44	1	1
687489	59	1	1
685294	8	1	1
685294	33	1	1
683648	7	3	5
683648	56	1	1
683633	7	3	5
685606	33	1	1
685606	59	1	1
687962	44	1	1
687314	7	3	5
688195	59	1	1
688195	44	1	1
688194	56	1	1
684633	44	1	1
688948	7	3	5
688948	44	1	1
685969	33	1	1
685969	44	1	1
685969	59	1	1
685743	59	1	1
685743	52	1	1
690046	52	3	5
690046	59	1	1
687466	18	1	1
687466	52	3	5
687466	59	1	1
684745	44	1	1
688486	44	1	1
684881	44	1	1
689207	56	1	1
689207	8	1	1
689207	59	1	1
683616	7	3	5
686031	18	1	1
686031	44	1	1
686031	56	1	1
689088	18	1	1
689088	44	1	1
686378	56	1	1
686378	7	3	5
686378	44	1	1
687383	18	1	1
685642	18	1	1
688391	18	1	1
683098	7	1	1
683098	44	1	1
690057	61	3	5
690057	56	1	1
690056	56	1	1
689080	44	1	1
689876	35	1	1
689876	49	1	1
683403	6	1	1
683800	39	1	1
683572	52	1	1
686160	18	1	1
686160	52	1	1
689020	8	1	1
687909	8	1	1
687909	52	1	1
684936	8	1	1
684936	52	1	1
684936	40	1	1
689856	39	1	1
684494	8	1	1
689191	70	1	1
689191	33	1	1
685753	70	3	5
685753	49	1	1
688036	40	1	1
689314	40	1	1
688330	33	1	1
688330	44	1	1
683071	52	1	1
683071	39	1	1
684652	7	1	1
684652	18	1	1
684652	40	1	1
684652	44	1	1
684652	56	1	1
684652	59	1	1
684272	33	1	1
684272	59	1	1
684272	56	3	5
684272	52	1	1
684272	40	1	1
684272	18	3	5
684272	8	1	1
684272	44	3	5
685994	59	1	1
685994	8	3	5
685994	33	1	1
685994	44	1	1
686098	44	1	1
687825	7	3	5
687825	18	1	1
687825	52	3	5
687419	18	3	5
687419	44	1	1
684803	40	1	1
685656	8	1	1
683756	18	1	1
683756	59	1	1
684838	7	3	5
688900	18	1	1
688900	40	1	1
686628	33	1	1
686628	59	1	1
687032	44	1	1
687033	8	1	1
687033	33	1	1
687033	44	1	1
687033	59	1	1
689933	40	1	1
685955	39	1	1
687395	33	1	1
687591	18	1	1
687591	44	1	1
687591	8	1	1
684251	33	1	1
685260	7	1	1
685260	52	1	1
688417	33	1	1
688417	49	1	1
686245	39	1	1
686499	7	1	1
686499	52	1	1
688001	40	1	1
687332	7	1	1
687332	8	1	1
684551	7	1	1
687059	51	3	5
684042	39	1	1
684687	39	1	1
688834	39	1	1
688835	6	1	1
688835	7	3	5
688835	40	3	5
685801	6	1	1
686998	39	1	1
686998	51	3	5
689860	52	1	1
688933	40	1	1
684735	40	1	1
684735	7	1	1
684083	40	1	1
686777	7	3	5
686778	7	3	5
686778	44	1	1
686778	59	1	1
686902	7	3	5
685165	40	1	1
689130	7	3	5
689130	44	1	1
689809	33	1	1
683411	70	1	1
684486	33	1	1
684486	49	1	1
689054	44	1	1
683557	44	1	1
685373	44	1	1
687116	56	1	1
685374	44	1	1
686131	18	3	5
686306	44	1	1
686308	44	1	1
685835	44	1	1
687161	56	1	1
686938	7	3	5
686938	44	1	1
689087	44	1	1
688910	33	1	1
687334	18	1	1
687334	59	1	1
687333	44	1	1
688072	60	3	5
688072	59	1	1
685753	36	1	1
685753	35	1	1
685753	33	1	1
687120	70	3	5
687120	21	1	1
687120	35	1	1
687120	36	1	1
687120	39	1	1
687120	43	1	1
687120	51	3	5
687120	8	1	1
687121	49	1	1
687121	59	1	1
689866	39	1	1
687653	6	1	1
687653	40	3	5
685399	39	1	1
683532	6	1	1
686571	6	1	1
686571	39	1	1
686526	18	1	1
686526	56	1	1
688062	56	1	1
687319	44	1	1
685184	18	1	1
685184	56	1	1
688717	18	1	1
688717	44	1	1
684059	56	3	1
684059	18	1	1
686073	56	1	1
686980	7	3	5
686980	40	3	5
686980	56	1	1
687134	18	1	1
687134	56	1	1
690092	39	1	1
684283	6	1	1
684284	39	1	1
684698	6	1	1
685602	8	1	1
683217	44	1	1
683379	59	1	1
683820	18	3	5
683820	44	1	1
685691	18	1	1
688131	18	1	1
688131	44	1	1
688131	52	3	5
686179	59	1	1
686179	18	1	1
687461	18	1	1
687461	40	1	1
687461	52	3	5
687461	59	1	1
684221	40	1	1
684222	52	1	1
684222	44	1	1
684222	35	1	1
684222	7	1	1
684222	59	3	5
684222	33	1	1
684947	59	1	1
684947	52	1	1
684947	35	1	1
688556	33	1	1
683771	18	1	1
683771	44	1	1
685893	33	1	1
685893	59	1	1
689361	18	1	1
689361	7	3	5
687083	33	1	1
687083	59	1	1
689864	7	3	5
684010	18	1	1
684010	44	1	1
684010	7	3	5
684011	7	3	5
684011	18	1	1
684011	44	1	1
684798	44	1	1
684798	56	1	1
689952	44	1	1
689952	18	1	1
685706	18	1	1
686587	59	1	1
685324	44	3	5
685324	18	3	5
687417	35	1	1
687417	49	1	1
687417	33	1	1
683644	44	3	1
683644	56	1	1
683866	51	1	1
689591	39	1	1
686294	18	1	1
688561	18	3	5
688561	56	1	1
687665	44	1	1
687665	56	1	1
689474	44	1	1
683377	60	1	1
689323	18	1	1
689323	40	1	1
689323	44	1	1
686833	18	1	1
686833	59	1	1
686959	33	1	1
686959	18	1	1
687131	59	1	1
687131	33	1	1
685293	33	1	1
683855	33	1	1
684710	18	1	1
684710	44	1	1
684710	56	1	1
685653	44	1	1
