subnation_id	iso_nation_cd	subnation_code	subnation_name
2	US	AL	Alabama
4	US	AR	Arkansas
24	US	MA	Massachusetts
50	US	TN	Tennessee
70	CA	SK	Saskatchewan
78	MX	QR	Quintana Roo
92	CA	NF	Newfoundland Island
379	MX	CH	Chihuahua
14	US	GA	Georgia
29	US	MN	Minnesota
32	US	MS	Mississippi
43	US	OK	Oklahoma
44	US	OR	Oregon
58	US	WV	West Virginia
65	CA	NT	Northwest Territories
67	CA	ON	Ontario
85	MX	ZA	Zacatecas
377	MX	BC	Baja California
11	US	DE	Delaware
19	US	IL	Illinois
20	US	IN	Indiana
21	US	KS	Kansas
22	US	KY	Kentucky
33	US	MT	Montana
63	CA	NB	New Brunswick
72	MX	BS	Baja California del Sur
93	CA	YT	Yukon Territory
12	US	FL	Florida
36	US	NE	Nebraska
38	US	NJ	New Jersey
41	US	NY	New York
48	US	SC	South Carolina
49	US	SD	South Dakota
51	US	TX	Texas
56	US	WA	Washington
82	MX	TM	Tamaulipas
1	US	AK	Alaska
7	US	CA	California
25	US	MD	Maryland
52	US	UT	Utah
61	CA	BC	British Columbia
69	CA	QC	Quebec
227	CA	NU	Nunavut
6	US	AZ	Arizona
9	US	CT	Connecticut
35	US	ND	North Dakota
39	US	NM	New Mexico
42	US	OH	Ohio
45	US	PA	Pennsylvania
68	CA	PE	Prince Edward Island
79	MX	QU	Queretaro
80	MX	SO	Sonora
83	MX	VE	Veracruz
28	US	MI	Michigan
30	US	MO	Missouri
34	US	NC	North Carolina
37	US	NH	New Hampshire
57	US	WI	Wisconsin
59	US	WY	Wyoming
76	MX	NU	Nuevo Leon
91	CA	LB	Labrador
381	MX	CO	Coahuila
383	MX	DU	Durango
392	MX	SL	San Luis Potosi
8	US	CO	Colorado
10	US	DC	District of Columbia
16	US	HI	Hawaii
17	US	IA	Iowa
18	US	ID	Idaho
23	US	LA	Louisiana
26	US	ME	Maine
40	US	NV	Nevada
47	US	RI	Rhode Island
53	US	VA	Virginia
55	US	VT	Vermont
60	CA	AB	Alberta
62	CA	MB	Manitoba
66	CA	NS	Nova Scotia
