USFS_ECOREGION_ID	PARENT_USFS_ECOREGION_ID	D_USFS_ECOREGION_LEVEL_ID	USFS_ECOREGION_NAME	USFS_ECOREGION_CLASS_CD	USFS_ECOREGION_CONCAT_CD
10044	1010	5	Atchafalaya Alluvial Plain Subsection	f	234Af
10045	1019	5	Cape Cod Coastal Lowland and Islands Subsection	b	221Ab
10046	1010	5	Bastrop Ridge Subsection	j	234Aj
10047	1010	5	Opelousas Ridge Subsection	k	234Ak
10048	1123	5	Scarped Osage Plains Subsection	a	251Ea
10049	1170	5	Central Rolling Red Prairies Subsection	c	255Ac
10050	1170	5	Texas Eastern Cross Timbers Subsection	h	255Ah
10051	1113	5	Southern Green Mountain Subsection	d	M212Cd
10052	1028	5	Adirondack Hills and Flats Subsection	a	M212Da
10053	1028	5	Eastern Adirondack Low Maintains Subsection	e	M212De
10054	1142	5	Penobscott Bay Coast Subsection	b	212Db
10055	1042	5	Missouri River Alluvial Plain Subsection	p	222Ap
10056	1019	5	Reading Prong Subsection	m	221Am
10057	1109	5	Maine-New Brunswick Lowlands Subsection	b	212Bb
10058	1143	5	Grand Marais Sand End Moraine and Outwash Subsection	i	212Hi
10059	1143	5	Manistee Outwash and Lake Sands Subsection	w	212Hw
10060	1019	5	Gulf of Maine Coastal Lowland Subsection	k	221Ak
10061	1042	5	Black River Ozark Border Subsection	l	222Al
10062	1089	5	Brown County Hills Subsection	m	222Em
10064	1161	5	Miami-Scioto Plain-Tipton Till Plain Subsection	b	222Hb
10065	1161	5	Entrenched Valleys Subsection	f	222Hf
10067	1137	5	Ohio Valley Lowlands Subsection	c	221Ec
10068	1073	5	Schist Plains Subsection	c	231Ac
10069	1163	5	Gulf Coast Prairies Subsection	a	231Fa
10071	1151	5	Eastern Chesapeake Lowland Subsection	x	232Bx
10072	1151	5	Delmarva Outer Coastal Plain Bays and Islands Subsection	z	232Bz
10074	1010	5	Arkansas Alluvial Plain Subsection	g	234Ag
10075	1010	5	Teche Terrace Subsection	l	234Al
10076	1173	5	Claypan Till Plain Subsection	d	251Cd
10078	1137	5	Lower Scioto River Plateau Subsection	g	221Eg
10079	1128	5	Texas Claypan Savannah Subsection	a	255Ca
10081	1100	5	Coastal Lowlands, Tidal Marshes and Bays Subsection	e	411Ae
10082	1028	5	Adirondack Peaks Subsection	f	M212Df
10083	1075	5	Tug Hill Transition Subsection	b	M212Fb
10085	1118	5	Western Allegheny Mountain and Valley Subsection	e	M221Be
10086	1008	5	Pine and Cumberland Mountains Subsection	e	M221Ce
10088	1110	5	St. Louis Moraines Subsection	b	212Nb
10089	1016	5	Allegheny Plateau Subsection	a	221Fa
10091	1042	5	Current River Hills Subsection	f	222Af
10092	1130	5	Lake Superior Clay Plain Subsection	a	212Ja
10094	1019	5	Boston Basin Subsection	a	221Aa
10095	1049	5	Clay Hills Subsection	d	222Cd
10097	1169	5	Effingham Plain Subsection	a	222Ga
10098	1112	5	Oak Savannah Till and Loess Plains Subsection	e	222Me
10100	1077	5	Lake Ontario, Bays and Islands Subsection	a	222Pa
10101	1078	5	Lake Erie, Bays and Islands Subsection	a	222Qa
10102	1073	5	Granite Hills Subsection	h	231Ah
10104	1141	5	Chert Valley Subsection	a	231Da
10105	1023	5	South Central Arkansas Subsection	a	231Ea
10107	1126	5	Okefenokee Swamp Subsection	d	232Cd
10108	1126	5	Tidal Area Subsection	h	232Ch
10109	1108	5	Souris-Agassiz Stratified Fan Deposits Subsection	b	251Ab
10111	1111	5	Upper Minnesota River-Des Moines Lobe Subsection	a	251Ba
10112	1111	5	Yankton Hills and Valleys Subsection	f	251Bf
10114	1118	5	Northern High Allegheny Mountains Subsection	a	M221Ba
10115	1143	5	Manitowoc Till Plain Subsection	d	212Hd
10116	1053	5	Mille Lacs Uplands Subsection	b	212Kb
10118	1042	5	Springfield Plateau Subsection	n	222An
10119	1169	5	Southwest Indiana Glaciated Lowlands Subsection	e	222Ge
10120	1055	5	Southeast Lake Michigan Plains and Dunes Subsection	j	222Jj
10121	1078	5	Lake St. Clair Subsection	b	222Qb
10122	1073	5	Lower Foot Hills Subsection	d	231Ad
10123	1073	5	Southern Triassic Uplands Subsection	o	231Ao
10124	1061	5	Upper Loam Hills Subsection	d	231Bd
10125	1023	5	Piney Woods Transition Subsection	f	231Ef
10126	1087	5	Eastern Arkansas Valley and Ridges Subsection	a	231Ga
10127	1034	5	New Jersey Inner Coastal Plain Subsection	c	232Ac
10128	1151	5	South Coastal Plains Subsection	g	232Bg
10129	1126	5	Pamlico and Albemarle Sounds, Bays and Barrier Islands Subsection	i	232Ci
10130	1126	5	Chesapeake Bay Subsection	j	232Cj
10131	1051	5	Mobile Bay, Sounds and Islands Subsection	d	232Dd
10132	1173	5	West Mississippi River Hills Subsection	e	251Ce
10133	1159	5	Eastern Grand Prairie Subsection	d	251Dd
10134	1066	5	Eastern Flint Hills Subsection	b	251Fb
10135	1100	5	Lake Okeechobee Subsection	a	411Aa
10136	1008	5	Eastern Coalfields Subsection	b	M221Cb
10137	1127	5	Athens Piedmont Plateau Subsection	d	M231Ad
10138	1026	5	Maine Eastern Interior Subsection	a	212Ca
10139	1019	5	Southeast New England Coastal Hills and Plains Subsection	g	221Ag
10140	1019	5	Worcester-Monadnock Plateau Subsection	h	221Ah
10141	1019	5	Sebago-Ossipee Hills and Plain Subsection	l	221Al
10142	1016	5	Grand River Pymatuning Subsection	b	221Fb
10143	1079	5	Southwestern Escarpment Subsection	c	221Hc
10144	1049	5	Northern Loessial Hills Subsection	e	222Ce
10145	1121	5	Interior Western Coalfields Subsection	a	222Da
10147	1161	5	Little Miami Old Drift Plain Subsection	c	222Hc
10148	1163	5	Marshes and Inland Bays Subsection	b	231Fb
10150	1012	5	Gulf Coast Bays and Islands Subsection	d	232Ed
10151	1012	5	Lake Borgne, Sounds and Islands Subsection	e	232Ee
10152	1128	5	Reserved Subsection	b	255Cb
10154	1118	5	Western Allegheny Mountains Subsection	b	M221Bb
10155	1127	5	Fourche Mountains Subsection	a	M231Aa
10157	1074	5	Grand Traverse Bay Subsection	c	212Oc
10158	1080	5	Lake Huron and Islands Subsection	a	212Pa
10160	1135	5	Erie-Ontairo Lake Plain Subsection	b	222Ib
10161	1135	5	Eastern Ontario Till Plain Subsection	c	222Ic
10162	1055	5	Lum Interlobate Moraine Subsection	f	222Jf
10164	1073	5	Charlotte Belt Subsection	e	231Ae
10165	1061	5	Interior Flatwoods Subsection	b	231Bb
10167	1023	5	Southwestern Arkansas Subsection	b	231Eb
10168	1151	5	Wiregrass Plains Subsection	p	232Bp
10170	1010	5	Arkansas Grande Prairie Subsection	e	234Ae
10171	1159	5	Northern Grand Prairie Subsection	c	251Dc
10173	1164	5	Maine Central Mountains Subsection	c	M212Ac
10174	1028	5	Central Adirondack Mountains Subsection	d	M212Dd
10176	1092	5	St. Lawrence Glacial Marine Plain Subsection	a	212Ea
10177	1143	5	Door and Escanaba Peninsulas and Lake Plain Subsection	e	212He
10179	1021	5	Border Lakes Subsection	a	212La
10180	1137	5	Teays Plateau Subsection	b	221Eb
10181	1050	5	Sandstone Hills Subsection	b	221Jb
10183	1089	5	Eastern Highland Rim Subsection	a	222Ea
10184	1089	5	Western Penneroyal Karst Plain Subsection	g	222Eg
10186	1056	5	Kickapoo-Wisconsin River Ravines Subsection	d	222Ld
10187	1073	5	Western Coastal Plain-Piedmont Transition Subsection	n	231An
10188	1103	5	Sandstone Plateau Subsection	b	231Cb
10190	1151	5	Southern Clay Hills Subsection	k	232Bk
10191	1012	5	Lake Ponchartrain Subsection	c	232Ec
10193	1010	5	Southern Mississippi River Alluvial Plain Subsection	a	234Aa
10194	1173	5	Galesburg Dissected Till Plain Subsection	j	251Cj
10196	1057	5	Northern Connecticut River Valley Subsection	b	M212Bb
10197	1118	5	Allegheny Mountain Plateau Subsection	f	M221Bf
10199	1080	5	Manitoulin Island Subsection	c	212Pc
10200	1042	5	Prairie Ozark Border Subsection	i	222Ai
10201	1042	5	Inner Ozark Border Subsection	j	222Aj
10203	1161	5	Blufton-Ann Arbor Till Plains Subsection	a	222Ha
10204	1056	5	Mississippi-Wisconsin River Ravines Subsection	c	222Lc
10206	1061	5	Jackson Prairie Subsection	l	231Bl
10207	1103	5	Shale Hills and Mountain Subsection	a	231Ca
10208	1023	5	Sabine Alluvial Valley Subsection	d	231Ed
10209	1023	5	Southern Loam Hills Subsection	h	231Eh
10210	1023	5	Southwest Flatwoods Subsection	i	231Ei
10211	1151	5	Delmarva Upland Subsection	t	232Bt
10212	1126	5	Flatwoods Floodplains and Terraces Subsection	g	232Cg
10213	1010	5	North Mississippi River Alluvial Plain Subsection	n	234An
10214	1108	5	Lake Agassiz Plain Subsection	a	251Aa
10215	1173	5	Central Dissected Till and Loess Plain Subsection	c	251Cc
10216	1170	5	Red River Alluvial Plain Subsection	g	255Ag
10217	1170	5	Southwestern Timbers Subsection	k	255Ak
10218	1144	5	Marshe, Inland Bays, and Barrier Islands Subsection	c	255Dc
10219	1100	5	Atlantic Coastal Ridge Subsection	d	411Ad
10220	1057	5	Vermont Piedmont Subsection	a	M212Ba
10221	1113	5	Northern Green Mountain Subsection	a	M212Ca
10222	1158	5	Catskill Highlands Subsection	b	M212Eb
10223	1008	5	Southern Cumberland Mountains Subsection	d	M221Cd
10224	1114	5	Pocono Plateau Subsection	d	212Fd
10225	1143	5	Rudyard Clay Lake Plain Subsection	k	212Hk
10226	1143	5	Cheboygan Lake Plain Subsection	l	212Hl
10227	1110	5	Tamarack Lowlands Subsection	d	212Nd
10228	1042	5	Elk River Hills Subsection	h	222Ah
10229	1018	5	Outer Bluegrass Subsection	a	222Fa
10230	1019	5	Reserved Subsection	j	221Aj
1		1	Dry Domain		
2		1	Humid Temperate Domain		
3		1	Humid Tropical Domain		
10	1	2	Temperate Desert Division		
11	1	2	Temperate Desert Regime Mountains		
12	1	2	Temperate Steppe Division		
13	1	2	Temperate Steppe Regime Mountains		
14	1	2	Tropical/Subtropical Desert Division		
15	1	2	Tropical/Subtropical Steppe Division		
16	1	2	Tropical/Subtropical Steppe Regime Mountains		
17	2	2	Hot Continental Division		
18	2	2	Hot Continental Regime Mountains		
19	2	2	Marine Division		
20	2	2	Marine Regime Mountains		
21	2	2	Mediterranean Division		
22	2	2	Mediterranean Regime Mountains		
23	2	2	Prairie Division		
24	2	2	Subtropical Division		
25	2	2	Subtropical Regime Mountains		
26	2	2	Warm Continental Division		
27	2	2	Warm Continental Regime Mountains		
28	3	2	Rainforest Regime Mountains		
29	3	2	Savanna Division		
30	3	2	Savanna Regime Mountains		
101	29	3	Everglades Province	411	411
102	23	3	Prairie Parkland (Temperate) Province	251	251
103	17	3	Eastern Broadleaf Forest (Continental) Province	222	222
104	24	3	Southeastern Mixed Forest Province	231	231
106	15	3	Great Plains Steppe and Shrub Province	311	311
107	13	3	Black Hills Coniferous Forest Province	M334	M334
109	22	3	California Coastal Range Open Woodland - Shrub - Coniferous Forest - Meadow Province	M262	M262
110	25	3	Ouachita Mixed Forest - Meadow Province	M231	M231
111	21	3	California Coastal Chaparral Forest and Shrub Province	261	261
113	15	3	Southwest Plateau and Plains Dry Steppe and Shrub Province	315	315
114	10	3	Intermountain Semi-Desert Province	342	342
115	26	3	Laurentian Mixed Forest Province	212	212
117	13	3	Middle Rocky Mountain Steppe - Coniferous Forest - Alpine Meadow Province	M332	M332
118	15	3	Colorado Plateau Semi-Desert Province	313	313
120	12	3	Great Plains-Palouse Dry Steppe Province	331	331
121	19	3	Pacific Lowland Mixed Forest Province	242	242
122	13	3	Southern Rocky Mountain Steppe - Open Woodland - Coniferous Forest - Alpine Meadow Province	M331	M331
123	18	3	Central Appalachian Broadleaf Forest - Coniferous Forest - Meadow Province	M221	M221
125	10	3	Intermountain Semi-Desert and Desert Province	341	341
126	24	3	Lower Mississippi Riverine Forest Province	234	234
127	20	3	Cascade Mixed Forest - Coniferous Forest - Alpine Meadow Province	M242	M242
128	17	3	Eastern Broadleaf Forest (Oceanic) Province	221	221
130	30	3	Puerto Rico Province	M411	M411
131	20	3	Pacific Gulf Coastal Forest - Meadow Province	M245	M245
132	28	3	Hawaiian Islands Province	M423	M423
134	27	3	Adirondack-New England Mixed Forest - Coniferous Forest - Alpine Meadow Province	M212	M212
135	14	3	Chihuahuan Semi-Desert Province	321	321
136	12	3	Great Plains Steppe Province	332	332
137	16	3	Arizona-New Mexico Mountains Semi-Desert - Open Woodland - Coniferous Forest - Alpine Meadow Province	M313	M313
1001	114	4	Snake River Basalts Section	D	342D
1002	107	4	Black Hills Section	A	M334A
1003	114	4	Bighorn Basin Section	A	342A
1005	124	4	Southern Cascades Section	D	M261D
1006	119	4	Tavaputs Plateau Section	B	M341B
1008	123	4	Cumberland Mountains Section	C	M221C
1009	137	4	White Mountain-San Francisco Peaks Section	A	M313A
1010	126	4	Mississippi Alluvial Basin Section	A	234A
1012	105	4	Louisiana Coast Prairies and Marshes Section	E	232E
1014	136	4	Northeastern Glaciated Plains Section	A	332A
1015	103	4	Southwestern Great Lakes Morainal Section	K	222K
1016	128	4	Western Unglaciated Allegheny Plateau Section	F	221F
1018	103	4	Interior Low Plateau, Bluegrass Section	F	222F
1019	128	4	Lower New England Section	A	221A
1020	127	4	Oregon and Washington Coast Ranges Section	A	M242A
1022	120	4	Upper Rio Grande Basin Section	J	331J
1023	104	4	Middle Coastal Plains, Western Section	E	231E
1025	133	4	Northern Rockies Section	C	M333C
1026	115	4	Fundy Coastal and Interior Section	C	212C
1027	117	4	Blue Mountains Section	G	M332G
1028	134	4	Adirondack Mountain Section	D	M212D
