usfs_ecoregion_2007_id	parent_usfs_ecoregion_2007_id	d_usfs_ecoregion_level_id	usfs_ecoregion_2007_name	usfs_ecoregion_2007_concat_cd
180	53	4	Southern High Plains Section	331B
181	53	4	Central High Tablelands Section	331C
182	53	4	Northwestern Glaciated Plains Section	331D
183	53	4	Northeastern Glaciated Plains Section	331E
184	53	4	Western Great Plains Section	331F
185	53	4	Powder River Basin Section	331G
186	53	4	Central High Plains Section	331H
187	53	4	Arkansas Tablelands Section	331I
188	53	4	Northern Rio Grande Basin Section	331J
189	53	4	North Central Highlands Section	331K
190	53	4	Glaciated Northern Grasslands Section	331L
191	53	4	Missouri Plateau Section	331M
192	53	4	Belt Mountains Section	331N
193	54	4	Northeastern Glaciated Plains Section	332A
194	54	4	Western Glaciated Plains Section	332B
195	54	4	Nebraska Sand Hills Section	332C
196	54	4	North Central Great Plains Section	332D
197	54	4	South Central Great Plains Section	332E
198	54	4	South Central and Red Bed Plains Section	332F
199	55	4	Bonneville Basin Section	341A
200	55	4	Northern Canyonlands Section	341B
201	55	4	Uinta Basin Section	341C
202	55	4	Mono Section	341D
203	55	4	Northern Mono Section	341E
204	55	4	Southeastern Great Basin Section	341F
205	55	4	Northeastern Great Basin Section	341G
206	56	4	Bighorn Basin Section	342A
207	56	4	Northwestern Basin and Range Section	342B
208	56	4	Owyhee Uplands Section	342C
209	56	4	Snake River Basalts and Basins Section	342D
210	56	4	Bear Lake Section	342E
211	56	4	Central Basin and Hills Section	342F
212	56	4	Green River Basin Section	342G
213	56	4	Blue Mountain Foothills Section	342H
214	56	4	Columbia Basin Section	342I
215	56	4	Eastern Basin and Range Section	342J
216	57	4	Everglades Section	411A
217	58	4	White Mountains Section	M211A
218	58	4	New England Piedmont Section	M211B
219	58	4	Green, Taconic, Berkshire Mountains Section	M211C
220	58	4	Adirondack Highlands Section	M211D
221	59	4	Northern Ridge and Valley Section	M221A
222	59	4	Allegheny Mountains Section	M221B
223	59	4	Northern Cumberland Mountains Section	M221C
224	59	4	Blue Ridge Mountains Section	M221D
225	60	4	Boston Mountains Section	M223A
226	61	4	Ouachita Mountains Section	M231A
227	62	4	Oregon and Washington Coast Ranges Section	M242A
228	62	4	Western Cascades Section	M242B
229	62	4	Eastern Cascades Section	M242C
230	62	4	Northern Cascades Section	M242D
231	63	4	Klamath Mountains Section	M261A
232	63	4	Northern California Coast Ranges Section	M261B
233	63	4	Northern California Interior Coast Ranges Section	M261C
234	63	4	Southern Cascades Section	M261D
235	63	4	Sierra Nevada Section	M261E
236	63	4	Sierra Nevada Foothills Section	M261F
237	63	4	Modoc Plateau Section	M261G
238	64	4	Central California Coast Ranges Section	M262A
239	64	4	Southern California Mountain and Valley Section	M262B
240	65	4	White Mountains-San Francisco Peaks-Mogollon Rim Section	M313A
241	65	4	Sacramento-Manzano Mountains Section	M313B
242	66	4	Yellowstone Highlands Section	M331A
243	66	4	Bighorn Mountains Section	M331B
244	66	4	Overthrust Mountains Section	M331D
245	66	4	Uinta Mountains Section	M331E
246	66	4	Southern Parks and Rocky Mountain Range Section	M331F
247	66	4	South Central Highlands Section	M331G
248	66	4	North Central Highlands and Rocky Mountains Section	M331H
249	66	4	Northern Parks and Ranges Section	M331I
250	66	4	Wind River Mountains Section	M331J
251	67	4	Idaho Batholith Section	M332A
252	67	4	Northern Rockies and Bitterroot Valley Section	M332B
253	67	4	Belt Mountains Section	M332D
254	67	4	Beaverhead Mountains Section	M332E
255	67	4	Challis Volcanics Section	M332F
256	67	4	Blue Mountains Section	M332G
257	68	4	Okanogan Highland Section	M333A
258	68	4	Flathead Valley Section	M333B
259	68	4	Northern Rockies Section	M333C
260	68	4	Bitterroot Mountains Section	M333D
261	69	4	Black Hills Section	M334A
262	70	4	East Great Basin and Mountains Section	M341A
263	70	4	Tavaputs Plateau Section	M341B
264	70	4	Utah High Plateau Section	M341C
265	70	4	West Great Basin and Mountains Section	M341D
266	71	4	Dry-Humid Mountains Section	M411A
268	73	5	Aroostook Hills Subsection	211Aa
269	73	5	Aroostook Lowlands Subsection	211Ab
270	74	5	Central Maine Foothills Subsection	211Ba
271	74	5	Maine-New Brunswick Lowlands Subsection	211Bb
272	75	5	Maine Eastern Interior Subsection	211Ca
273	75	5	Maine Eastern Coastal Subsection	211Cb
274	76	5	Central Maine Embayment Subsection	211Da
275	76	5	Casco Bay Coast Subsection	211Db
276	76	5	Penobscot Bay Coast Subsection	211Dc
277	77	5	St. Lawrence Glacial Marine Plain Subsection	211Ea
278	77	5	St. Lawrence Till Plain Subsection	211Eb
279	77	5	Champlain Glacial Lake and Marine Plains Subsection	211Ec
280	77	5	Champlain Hills Subsection	211Ed
281	77	5	St. Lawrence Glacial Lake Plain Subsection	211Ee
282	78	5	Cattaraugus Highlands Subsection	211Fa
283	78	5	Central Allegheny Plateau Subsection	211Fb
284	78	5	Eastern Allegheny Plateau Subsection	211Fc
285	78	5	Pocono Plateau Subsection	211Fd
286	78	5	Glaciated High Plateau Subsection	211Ff
287	79	5	Allegheny High Plateau Subsection	211Ga
288	79	5	Allegheny Deep Valleys Subsection	211Gb
289	80	5	Catskill Mountains Subsection	211Ia
290	80	5	Catskill Highlands Subsection	211Ib
291	81	5	Black River Valley Subsection	211Ja
292	81	5	Tug Hill Transition Subsection	211Jb
293	81	5	Tug Hill Plateau Subsection	211Jc
294	81	5	Mohawk Valley Subsection	211Jd
295	82	5	Oceana Sandy Lake Plains and Dunes Subsection	212Ha
296	82	5	Manistee Sandy Outwash Plain Subsection	212Hb
297	82	5	Interlobate End and Ground Moraines Subsection	212Hc
298	82	5	Grand Traverse Ground Moraine Subsection	212Hd
299	82	5	Kalkaska Sandy Moraines Subsection	212He
300	82	5	Grand Traverse Drumlin Fields Subsection	212Hf
301	82	5	Kirtland's Warbler High Sand Plains Subsection	212Hg
302	82	5	Gladwin Silty Lake Plain Subsection	212Hh
303	82	5	Wolverine Moraines Subsection	212Hi
304	82	5	Presque Isle Lake and Till Plains Subsection	212Hj
305	82	5	Alcona Gravelly Ice Contact Subsection	212Hk
306	82	5	Valders Red Till and Sandy Lake Plain Subsection	212Hl
307	82	5	Clare Moraines Subsection	212Hm
308	83	5	Gogebic-Penokee Iron Range Subsection	212Jb
309	83	5	Winegar Moraines Subsection	212Jc
310	83	5	Ewen Dissected Lake Plain Subsection	212Jo
311	84	5	Bayfield Sand Plains Subsection	212Ka
312	84	5	Mille Lacs Uplands Subsection	212Kb
313	85	5	Border Lakes Subsection	212La
314	85	5	North Shore Highlands Subsection	212Lb
315	85	5	Laurentian Highlands Subsection	212Lc
316	85	5	Toimi Uplands Subsection	212Ld
317	85	5	Laurentian Highlands Subsection	212Le
318	86	5	Littlefork-Vermillion Uplands Subsection	212Ma
319	86	5	Agassiz Lowlands Subsection	212Mb
320	87	5	Chippewa Plains Subsection	212Na
321	87	5	St. Louis Moraines Subsection	212Nb
322	87	5	Pine Moraine and Outwash Plains Subsection	212Nc
323	87	5	Toimi Uplands Subsection	212Nd
324	88	5	St. Croix Moraine Subsection	212Qa
325	88	5	Lincoln Formation Till Plain-Mixed Hardwoods Subsection	212Qb
326	88	5	Lincoln Formation Till Plain-Hemlock Hardwoods Subsection	212Qc
327	88	5	Rib Mountain Rolling Ridges Subsection	212Qd
328	89	5	Grand Marais Glaciofluvial-Moraine Complex Subsection	212Ra
329	89	5	Seney Lake Plain Subsection	212Rb
330	89	5	Escanaba Lake Plain and Thin Till Subsection	212Rc
331	89	5	Rudyard Silty Lake Plain Subsection	212Rd
332	89	5	St. Ignace Lake Plain Subsection	212Re
333	90	5	Sisu Copper Range Subsection	212Sb
334	90	5	Suomi Till and Outwash Plain Subsection	212Sc
335	90	5	Keewenaw Coarse Till and Lake Plain Subsection	212Sn
336	90	5	Michigamme Highlands Subsection	212Sq
337	91	5	Green Bay Lobe Stagnation Moraine Subsection	212Ta
338	91	5	West Green Bay Till Plain Subsection	212Tb
339	91	5	Athelstane Sandy Outwash and Moraines Subsection	212Tc
340	91	5	Green Bay Sandy Lake Plain Subsection	212Te
341	91	5	Door Peninsula Subsection	212Tf
342	92	5	Gidden Loamy Drift Plain Subsection	212Xa
343	92	5	Northern Highlands Pitted Outwash Subsection	212Xb
344	92	5	Brule and Paint Rivers Drumlinized Ground Moraine Subsection	212Xc
345	92	5	Central-Northwest Wisconsin Loess Plains Subsection	212Xd
346	92	5	Perkinstown End Moraine Subsection	212Xe
347	92	5	Hayward Stagnation Moraines Subsection	212Xf
348	92	5	Crystal Falls Till and Outwash Subsection	212Xq
349	93	5	Superior-Ashland Clay Plain Subsection	212Ya
350	94	5	Outagamie Loamy Till and Silty Lake Plain Subsection	212Za
351	94	5	Green Bay Clayey and Silty Lake Plain Subsection	212Zb
