reference_id	shortcitation	fullcitation
180424	Rice and Penfound 1959	Rice, E. L., and W. T. Penfound. 1959. The upland forests of Oklahoma. Ecology 40:593-608.
182314	Eyre 1980	Eyre, F. H., editor. 1980. Forest cover types of the United States and Canada. Society of American Foresters, Washington, DC. 148 pp.
187091	Bruner 1931	Bruner, W. E. 1931. The vegetation of Oklahoma. Ecological Monographs 1:99-188.
194029	Masters et al. 1995	Masters, R. E., J. E. Skeen, and J. Whitehead. 1995. Preliminary fire history of McCurtain County Wilderness Area and implications for red-cockaded woodpecker management. In: D. I. Kulhavy, R. G. Hooper, and R. Costa, editors. Red-cockaded woodpecker management. Center for Applied Studies, Stephen F. Austin University, Nacogdoches, TX.
200021	Johnson 1986b	Johnson, F. L. 1986b. Woody vegetation of southeastern Leflore County, Oklahoma, in relation to topography. Proceedings of the Oklahoma Academy of Science 66:1-6.
192632	Younkin 1970	Younkin, W. E., Jr. 1970. A study of the vegetation of alpine rock outcrops in northern Colorado. Unpublished thesis, Colorado State University, Fort Collins. 109 pp.
645764	ALNHP unpubl. data 2018	ALNHP [Alabama Natural Heritage Program]. 2018. Unpublished data on file. Alabama Natural Heritage Program, Auburn University.
201226	Baker 1984a	Baker, W. L. 1984a. A preliminary classification of the natural vegetation of Colorado. Great Basin Naturalist 44(4):647-676.
657112	Clark et al. 2009	Clark, D., M. Dela Cruz, T. Clark, J. Coles, S. Topp, A. Evenden, A. Wight, G. Wakefield, and J. Von Loh. 2009. Vegetation classification and mapping project report, Capitol Reef National Park. Natural Resource Report NPS/NCPN/NRTR--2009/187. National Park Service, Fort Collins, CO. 882 pp.
671254	Schulz and Hall 2011	Schulz, K. A., and M. E. Hall. 2011. Vegetation inventory project: Great Basin National Park. Unpublished report submitted to USDI National Park Service, Mojave Desert Inventory and Monitoring Network. NatureServe, Western Regional Office, Boulder, CO. 30 pp. plus Appendices A-H.
757835	Evens et al. 2014	Evens, J. M., K. Sikes, D. Hastings, and J. Ratchford. 2014. Vegetation alliance descriptions for Lake Mead National Recreation Area, Death Valley National Park and Mojave National Preserve. Unpublished report submitted to USDI National Park Service, Mojave Desert Network Inventory and Monitoring Program. California Native Plant Society, Sacramento, CA. [http://science.nature.nps.gov/im/units/MOJN/rpts_pubs/rpts_pubs_main.cfm]
820428	Cogan et al. 2012	Cogan, D., J. E. Taylor, and K. Schulz. 2012. Vegetation inventory project: Great Basin National Park. Natural Resource Report NPS/MOJN/NRR--2012/568. National Park Service, Fort Collins, CO. 373 pp.
509997	Byers et al. 2007	Byers, E. A., J. P. Vanderhorst, and B. P. Streets. 2007. Classification and conservation assessment of high elevation wetland communities in the Allegheny Mountains of West Virginia. West Virginia Natural Heritage Program, West Virginia Division of Natural Resources, Elkins.
175630	Manning and Padgett 1991	Manning, M. E., and W. G. Padgett. 1991. Riparian community type classification for the Humboldt and Toiyabe national forests, Nevada and eastern California. Unpublished draft report prepared for USDA Forest Service, Intermountain Region Ecology and Classification Program, Ogden, UT. 490 pp.
671250	Reid and Hall 2010	Reid, M. S., and M. E. Hall. 2010. Vegetation classification of Grand Canyon National Park. Draft report submitted to National Park Service, Fort Collins, CO.
178774	MNNHP 1993	MNNHP [Minnesota Natural Heritage Program]. 1993. Minnesota's native vegetation: A key to natural communities. Version 1.5. Minnesota Department of Natural Resources, Natural Heritage Program, St. Paul, MN. 110 pp.
667764	Minnesota DNR 2005a	Minnesota DNR [Minnesota Department of Natural Resources]. 2003-2005a. Field guide to the native plant communities of Minnesota. Three volumes: The Laurentian Mixed Forest Province (2003), The Eastern Broadleaf Forest Province (2005c), The Prairie Parkland and Tallgrass Aspen Parklands provinces (2005b). Ecological Land Classification Program, Minnesota County Biological Survey, and Natural Heritage and Nongame Research Program. Minnesota Department of Natural Resources, St. Paul.
