element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
860703	Hawaiian Dry Forest		1/21/2016	K. Schulz
685533	<i>Acer barbatum - Aesculus glabra - Carya myristiciformis - Quercus shumardii - Quercus muehlenbergii</i> Forest		1/25/2016	M. Pyne
899050	<i>Alnus oblongifolia</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899052	<i>Juglans major - Juglans microcarpa</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899853	<i>Platanus wrightii</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899854	<i>Populus deltoides ssp. wislizeni - Populus deltoides ssp. monilifera</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899855	<i>Populus fremontii - Fraxinus velutina - Salix gooddingii</i> Flooded Forest &amp; Woodland Alliance		1/26/2016	D. Faber-Langendoen
898995	<i>Washingtonia filifera</i> Flooded Woodland Alliance		1/26/2016	D. Faber-Langendoen
899485	<i>Acer spicatum / Picea glauca / Clintonia borealis</i> Scrub Alliance		1/27/2016	M. Russo
899182	<i>Polygonum</i> spp. Wet Meadow Shoreline Alliance		1/27/2016	M. Russo
788077	<i>Liquidambar styraciflua - Carya illinoinensis - Quercus nigra</i> Ruderal Forest		1/28/2016	M. Pyne
899133	<i>Juncus militaris</i> Marsh Alliance		1/28/2016	M. Russo
898957	<i>Cliftonia monophylla</i> Swamp Forest Alliance		1/28/2016	M. Russo
686508	<i>Vitis rotundifolia - Ampelopsis arborea - Campsis radicans</i> Successional Wet Vine-Shrubland		1/30/2016	M. Pyne
684064	<i>Prunus serotina / Morella cerifera / Smilax rotundifolia</i> Scrub Fores		1/30/2016	M. Russo
687105	<i>Baccharis halimifolia</i> Successional Shrubland		2/1/2016	M. Pyne
688037	<i>Pontederia cordata - Peltandra virginica</i> Marsh [Placeholder]	elevated	2/1/2016	M. Pyne
932908	Northern Rocky Mountain Lowland &amp; Foothill Riparian Forest		2/2/2016	M. Russo
787677	<i>Deschampsia caespitosa - Vernonia noveboracensis</i> Grassland		2/2/2016	M. Russo
899315	Tamaulipan <i>Acacia rigidula - Leucophyllum frutescens - Acacia berlandieri</i> Calcareous Thornscrub Alliance		2/3/2016	M. Russo
899389	<i>Fagus grandifolia - Quercus rubra</i> Piedmont / Ridge and Valley Forest Alliance		2/4/2016	M. Russo
899394	<i>Pinus echinata - Quercus falcata</i> Upper Coastal Plain Alliance		2/4/2016	M. Russo
686997	<i>Pinus taeda - Liquidambar styraciflua - Nyssa biflora</i> Floodplain Forest		2/2/2016	M. Pyne
837022	<i>Scaevola plumieri - Suriana maritima - Ipomoea pes-caprae</i> Beach Vegetation Group		2/3/2016	C. Nordman
899500	<i>Tsuga heterophylla - Pseudotsuga menziesii</i> / Serpentine Soil Forest Alliance		2/4/2016	M. Russo
860832	Caribbean Moist Shortgrass Savanna Group		2/4/2016	C. Nordman
899656	California Acidic Graminoid Fen Alliance		2/4/2016	M. Russo
899658	California Acidic Shrub Fen Alliance		2/4/2016	M. Russo
833241	<i>Quercus michauxii - Quercus laurifolia - Liquidambar styraciflua</i> Bottomland Forest Group		2/5/2016	D. Faber-Langendoen
899726	<i>Abies concolor - Pseudotsuga menziesii</i> Coastal, Cascade &amp; Sierran Forest Alliance		2/5/2016	M. Russo
683177	<i>Juniperus communis - (Juniperus virginiana) - Rhus aromatica - Viburnum rafinesquianum / Oligoneuron album</i> Shrubland	nomenclature update (USDA Plants 2017)	9/7/2017	M. Russo
758559	<i>Carya glabra - Quercus (rubra, prinus) - Fraxinus americana / Viburnum rafinesquianum</i> Forest	nomenclature update (USDA Plants 2017)	9/7/2017	M. Russo
687468	<i>Salix nigra - (Fraxinus pennsylvanica, Acacia farnesiana)</i> Floodplain Forest	nomenclature update (USDA Plants 2017)	9/7/2017	M. Russo
877314	<i>Quercus alba - Quercus prinus - Carya glabra</i> Forest &amp; Woodland Group	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
870280	<i>Quercus prinus - Quercus coccinea</i> Forest Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
879076	<i>Quercus prinus - Quercus coccinea</i> Shale Woodland Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
879084	<i>Quercus rubra - Quercus prinus</i> Woodland Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
879104	<i>Pinus pungens - Pinus rigida - Quercus prinus</i> Woodland Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
881502	<i>Pinus strobus - Quercus prinus</i> Appalachian Forest Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
899393	<i>Pinus echinata - Pinus pungens - Quercus prinus</i> Appalachian Woodland Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
899396	<i>Pinus palustris - Pinus echinata - Quercus prinus</i> Interior Woodland Alliance	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
687902	<i>Quercus prinus / Cornus florida - Amelanchier arborea / Pityopsis graminifolia var. latifolia</i> Woodland	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
688220	<i>Quercus prinus - Quercus marilandica</i> Piedmont Woodland	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
720842	<i>Pinus echinata - Quercus prinus</i> Interior Low Plateau Forest	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
836338	<i>Pinus rigida - Quercus prinus / Gaylussacia baccata / Carex pensylvanica</i> Woodland	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
685204	<i>(Quercus prinus) / Vaccinium pallidum / Schizachyrium scoparium - Danthonia spicata / Cladonia</i> spp. Scrub Grassland	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
688482	<i>Quercus prinus / Smilax</i> spp. Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
684730	<i>Quercus prinus - Quercus (alba, coccinea) / Viburnum acerifolium - (Kalmia latifolia)</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
687189	<i>Quercus prinus / Rhus</i> spp. / <i>Deschampsia flexuosa</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
686982	<i>Quercus rubra - (Quercus prinus) / Vaccinium</i> spp. / <i>Deschampsia flexuosa</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
687537	<i>Quercus prinus - Quercus (rubra, velutina) / Vaccinium (angustifolium, pallidum</i>) Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
689528	<i>Pinus rigida - Quercus (velutina, prinus)</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
728821	<i>Quercus prinus - (Quercus coccinea, Quercus rubra) / Kalmia latifolia / Vaccinium pallidum</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
690048	<i>Quercus prinus - (Quercus rubra) - Carya</i> spp. / <i>Oxydendrum arboreum - Cornus florida</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
