element_global_id	predecessor_id	predecessorcode	predecessorname	predecessorsciname	predecessorcolloquialname	lineagedate	lineagenote	lineageauthorizedby
971941	899267	A3142	Lycium andersonii - Lycium cooperi Scrub Alliance	<i>Lycium andersonii - Lycium cooperi</i> Scrub Alliance	Water Jacket - Peach-thorn Scrub	11/11/2016	3140 &amp; A3142 merged into A4245	K. Schulz
971941	899265	A3140	Ephedra nevadensis Scrub Alliance	<i>Ephedra nevadensis</i> Scrub Alliance	Nevada Joint-fir Scrub	11/11/2016	A3140 &amp; A3142 merged into A4245	K.A. Schulz
979555	686015	CEGL003208	Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium Forest	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium</i> Forest		2/3/2017	CEGL003208 &amp; CEGL003218 merged to form CEGL007378 (PNWCOAST_315)	Coastal Correlation
979517	689930	CEGL000134	Pinus contorta / Arctostaphylos uva-ursi Forest	<i>Pinus contorta / Arctostaphylos uva-ursi</i> Forest		12/1/2017	CEGL000134 &amp; CEGL000425 merged into CEGL007345 (PNWCOAST_115)	Coastal Correlation
979555	687294	CEGL003218	Tsuga mertensiana - Tsuga heterophylla / Vaccinium ovalifolium Forest	<i>Tsuga mertensiana - Tsuga heterophylla / Vaccinium ovalifolium</i> Forest		2/3/2017	CEGL003208 &amp; CEGL003218 merged to form CEGL007378 (PNWCOAST_315)	Coastal Correlation
979484	685417	CEGL003223	Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium / Lysichiton americanus Swamp Forest	<i>Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium / Lysichiton americanus</i> Swamp Forest		1/31/2017	CEGL003223 merged into CEGL007322 (PNWCOAST_238+270+275)	Coastal Correlation
787976	684665	CEGL003361	Populus balsamifera ssp. trichocarpa - Alnus rubra / Carex obnupta Riparian Woodland	<i>Populus balsamifera ssp. trichocarpa - Alnus rubra / Carex obnupta</i> Riparian Woodland		1/31/2017	CEGL003361 merged into CEGL002844 (PNWCOAST_113)	Coastal Correlation
979401	689378	CEGL002616	Pseudotsuga menziesii / Corylus cornuta / Polystichum munitum Forest	<i>Pseudotsuga menziesii / Corylus cornuta / Polystichum munitum</i> Forest		2/2/2017	CEGL002616 split into CEGL007358 (PNWCOAST_120) &amp; CEGL005632 (PNWCOAST_150)	Coastal Correlation
979517	689955	CEGL000425	Pseudotsuga menziesii / Arctostaphylos uva-ursi Cascadian Forest	<i>Pseudotsuga menziesii / Arctostaphylos uva-ursi</i> Cascadian Forest		2/6/2017	CEGL000134 &amp; CEGL000425 merged into CEGL007345 (PNWCOAST_115)	Coastal Correlation
979484	685964	CEGL000223	Abies amabilis / Lysichiton americanus Swamp Forest	<i>Abies amabilis / Lysichiton americanus</i> Swamp Forest		1/17/2017	CEGL000223 merged into CEGL007322 (PNWCOAST_238+270+275)	Coastal Correlation
